dur,imx,imy,ndets,solid_angle,timeID,time,A,Epeak,gamma,nllh,bkg_nllh,TS
0.256,-0.04,-0.08,15537,15536.999999999996,-14720256,785996576.90234,0.0038561710282716097,148.41596075764554,0.3787331672549829,30.15041921283048,35.49555137787708,3.2695969675318075
0.256,-0.04,-0.08,15537,15536.999999999996,-1280256,785996578.24634,0.0026637429668401576,756.1969788521283,0.4097880277869519,34.26123733163771,50.45350159809579,5.690740596171659
0.256,-0.04,-0.08,15537,15536.999999999996,-1920256,785996578.18234,0.003888107038686583,425.62435558036395,-0.1,32.802030439751356,49.41685399056641,5.76451620707498
0.256,-0.04,-0.08,15537,15536.999999999996,-640256,785996578.31034,0.0022911107751258917,982.5224577579861,-0.1,33.56426164125412,52.45151702652461,6.146097198266635
0.256,-0.04,-0.08,15537,15536.999999999996,1280256,785996578.5023401,0.0022304700640945947,1000.0,0.09127084521865388,30.347756137041088,46.108753299151964,5.614445148384812
0.256,-0.04,-0.08,15537,15536.999999999996,8960256,785996579.2703401,0.004054935524497908,391.9265291443909,-0.1,32.67031168535509,48.31262830206516,5.5932667765287345
0.256,-0.04,-0.08,15537,15536.999999999996,640256,785996578.4383401,0.002067012950965797,1000.0,-0.1,31.093507749301374,46.84868289948474,5.613408082472424
0.256,-0.04,-0.08,15537,15536.999999999996,14720256,785996579.8463401,0.006443130033634657,375.56650605919936,-0.1,33.70613434883542,71.88704604109513,8.738525240824073
0.256,-0.04,-0.08,15537,15536.999999999996,14080256,785996579.78234,0.005431679915777344,407.88360963278575,-0.1,32.15286270817336,63.49068130890387,7.91679462923354
0.256,-0.04,-0.08,15537,15536.999999999996,18560256,785996580.23034,0.00393328405865118,854.8886868868021,-0.1,35.32628564190686,83.61233712189316,9.827110610956439
0.256,-0.04,-0.08,15537,15536.999999999996,19840256,785996580.35834,0.0033524512474038598,915.5356892348306,-0.038919681514472594,33.05197574694272,68.11567016637706,8.374209744141154
0.256,-0.04,-0.08,15537,15536.999999999996,19200256,785996580.29434,0.003317888065283794,1000.0,-0.1,34.108816014111646,74.95512360323804,9.038396715029318
0.256,-0.04,-0.08,15537,15536.999999999996,21120256,785996580.48634,0.004080646399780484,442.8139038062955,0.0028641107534600686,33.26234424444129,53.08353512335147,6.296219640214305
0.256,-0.04,-0.08,15537,15536.999999999996,21760256,785996580.55034,0.004063081758530363,395.6451035400778,-0.1,35.73368624305589,52.069998935674306,5.715997322010992
0.256,-0.04,-0.08,15537,15536.999999999996,22400256,785996580.6143401,0.0036288868602574196,467.8051881153323,-0.1,38.27962499728213,55.67845129612578,5.898953517166185
0.256,-0.04,-0.08,15537,15536.999999999996,28160256,785996581.19034,0.0014760564270208196,1000.0,0.35410658514171645,31.174077792216583,37.19810611538223,3.4710310638672333
0.256,-0.04,-0.08,15537,15536.999999999996,27520256,785996581.12634,0.0014966716965663955,1000.0,0.36343744745088774,30.16448673681652,36.45702356894391,3.5475447374564255
